ID,Título,Región,Categoría,Subcategoría,Fecha,Contenido,Contenido_Completo,Tipo_Fuente,Sección_Fuente,URL_Fuente,Longitud,Palabras,Oraciones,Legibilidad,Densidad_Semántica,Riqueza_Informacional,Score_Calidad,Keywords,Entidades,Temas,Tiene_HTML,Completo,Relevante,Grupo_Duplicado,Hash_Contenido,Timestamp_Procesamiento
news_edicion_tolima_7becafa9,Edición 15 - Tolima,Tolima,comunicacion,ediciones_tolima,21 Nov 2022,Edición 15 - Tolima. En esta edición puedes encontrar: No coma cuento! Verdades y mentiras sobre el servicio de energía. Qué orgullo! el Tolima es pionero en energía solar Con la rebaja de la tar...,"Edición 15 - Tolima. En esta edición puedes encontrar: No coma cuento! Verdades y mentiras sobre el servicio de energía. Qué orgullo! el Tolima es pionero en energía solar Con la rebaja de la tarifa de energía, siento un fresquito . Tu nevera. Únete tú para que baje más.",newsletter,noticias_celsia,https://www.celsia.com/wp-content/uploads/2022/11/Noticias-Celsia-Tolima-noviembre-diciembre-2022.pdf,280,49,7,0.5,1.0,0.604,0.879,"tolima, energi, encontrar, servicio, tarifa, edición, puedes, edicio, solar",tolima,"servicio_cliente, facturacion_tarifas, energia_renovable",False,True,True,,fc5cb8911e8b,2025-10-15T22:36:56.814886
news_edicion_tolima_42dae7cb,Edición 14 - Tolima,Tolima,comunicacion,ediciones_tolima,3 Ago 2022,Edición 14 - Tolima. En esta edición puedes encontrar:5 cosas que no sabías de la energía limpiaIdeas para conversar con persona que tienen opiniones diferentes Te ayudarán! Seis historias de gen...,Edición 14 - Tolima. En esta edición puedes encontrar:5 cosas que no sabías de la energía limpiaIdeas para conversar con persona que tienen opiniones diferentes Te ayudarán! Seis historias de gente que nos inspira con su buena energía!,newsletter,noticias_celsia,https://www.celsia.com/wp-content/uploads/2022/08/Noticias-Celsia-Tolima-julio-agosto-2022.pdf,241,38,3,0.5,1.0,0.549,0.854,"tolima, energi, encontrar, edición, puedes, edicio",tolima,"servicio_cliente, energia_renovable",False,True,True,,859b1fe229bf,2025-10-15T22:36:56.815812
news_edicion_tolima_45a9462a,Edición 13  - Tolima,Tolima,comunicacion,ediciones_tolima,24 May 2022,Edición 13 - Tolima. En esta edición puedes encontrar:El internet que siempre habías querido Te lo tenemos!5 consejos para que compres sin compliques. Quieres que sembremos un árbol por ti? Conoce...,Edición 13 - Tolima. En esta edición puedes encontrar:El internet que siempre habías querido Te lo tenemos!5 consejos para que compres sin compliques. Quieres que sembremos un árbol por ti? Conoce cómo,newsletter,noticias_celsia,https://www.celsia.com/wp-content/uploads/2022/07/Noticias-Celsia-Tolima-mayo-junio-2022.pdf,206,32,4,0.5,1.0,0.579,0.84,"tolima, siempre, encontrar, internet, edición, puedes, edicio",tolima,tecnologia_digital,False,True,True,,aa7506d76d66,2025-10-15T22:36:56.816437
news_edicion_tolima_c86a6eec,Edición 12  - Tolima,Tolima,comunicacion,ediciones_tolima,28 Mar 2022,Edición 12 - Tolima. En esta edición puedes encontrar:Rediseñamos la factura como te la soñaste. ConócelaCelebramos el Día de la Mujer resaltando una emprendedoradel Directorio Naranja.5 cosas q...,Edición 12 - Tolima. En esta edición puedes encontrar:Rediseñamos la factura como te la soñaste. ConócelaCelebramos el Día de la Mujer resaltando una emprendedoradel Directorio Naranja.5 cosas que no sabías de la energía y te sorprenderán,newsletter,noticias_celsia,https://www.celsia.com/wp-content/uploads/2022/03/Noticias-Celsia-Tolima-marzo-abril-2022-1.pdf,247,36,3,0.5,1.0,0.567,0.859,"redisen, tolima, encontrar, edición, factura, puedes, edicio",tolima,"facturacion_tarifas, infraestructura",False,True,True,,39c7aebc4f93,2025-10-15T22:36:56.817072
news_edicion_tolima_62374e4b,Edición 11 – Tolima,Tolima,comunicacion,ediciones_tolima,28 Ene 2022,Edición 11 Tolima. En esta edición puedes encontrar: sabes por qué en la factura recibes el cobro del alumbrado público?Sara Catalina Martínez llena de arte las tiendas Celsia.Si tu principal pro...,"Edición 11 Tolima. En esta edición puedes encontrar: sabes por qué en la factura recibes el cobro del alumbrado público?Sara Catalina Martínez llena de arte las tiendas Celsia.Si tu principal propósito del año es conseguir trabajo, te recomendamos aprovechar los cursos gratuitos que te ofrecemos la ESCUELA NARANJA.",newsletter,noticias_celsia,https://www.celsia.com/wp-content/uploads/2022/01/Noticias-Celsia-Tolima-enero-febrero-2022.pdf,323,48,4,0.5,1.0,0.618,0.891,"tolima, encontrar, sabes, edición, factura, celsia, puedes, edicio","tolima, celsia",facturacion_tarifas,False,True,True,,cc943125efff,2025-10-15T22:36:56.817887
news_edicion_tolima_dffd4049,Edición 10 – Tolima,Tolima,comunicacion,ediciones_tolima,15 Dic 2021,Edición 10 Tolima. En esta edición puedes encontrar:En las tiendas Celsia abrimos los sábados.Te explicamos por qué se cobra el servicio de aseo en tu factura.Ideas para ahorrar energía en esta N...,Edición 10 Tolima. En esta edición puedes encontrar:En las tiendas Celsia abrimos los sábados.Te explicamos por qué se cobra el servicio de aseo en tu factura.Ideas para ahorrar energía en esta Navidad.,newsletter,noticias_celsia,https://www.celsia.com/wp-content/uploads/2021/12/NOTICIAS-CELSIA-TOLIMA-NOVIEMBRE-2021.pdf,207,32,4,0.5,1.0,0.524,0.835,"tolima, encontrar, servicio, tiendas, edición, factura, celsia, puedes, edicio","tolima, celsia","servicio_cliente, facturacion_tarifas",False,True,True,,287b137666ba,2025-10-15T22:36:56.818467
news_edicion_tolima_24af1881,Edición 9 – Tolima,Tolima,comunicacion,ediciones_tolima,24 Sep 2021,Edición 9 Tolima. En esta edición puedes encontrar:Mejoró la energía en el centro de Ibagué.Estamos conectados con lo que pasa en la región.1.200 personas se benefician de nuestros filtros de ag...,Edición 9 Tolima. En esta edición puedes encontrar:Mejoró la energía en el centro de Ibagué.Estamos conectados con lo que pasa en la región.1.200 personas se benefician de nuestros filtros de agua potable.Estrenamos Tiendas Celsia en Líbano y Lérida.,newsletter,noticias_celsia,https://www.celsia.com/wp-content/uploads/2021/09/NOTICIAS-CELSIA-TOLIMA-SEPTIEMBRE-2021-BAJA.pdf,258,38,6,0.5,1.0,0.595,0.843,"mejoro, tolima, encontrar, edición, celsia, puedes, edicio","tolima, celsia",,False,True,True,,df75b7b2b25a,2025-10-15T22:36:56.819093
news_edicion_tolima_27846e42,Edición 8 – Tolima,Tolima,comunicacion,ediciones_tolima,14 Jul 2021,Edición 8 Tolima. En esta edición puedes encontrar:El Directorio naranja nos conectó con los clientes ibaguereños.4 ideas para ahorrar energía y platica. Sabes lo que hace el Grupo Éxito por el ...,Edición 8 Tolima. En esta edición puedes encontrar:El Directorio naranja nos conectó con los clientes ibaguereños.4 ideas para ahorrar energía y platica. Sabes lo que hace el Grupo Éxito por el desarrollo del país y del Tolima?Cuando lo barato te sale caro.,newsletter,noticias_celsia,https://www.celsia.com/wp-content/uploads/2021/07/Noticias-Celsia-Tolima-Ed.-8-Julio-2021-_-Web.pdf,264,42,5,0.5,1.0,0.595,0.871,"tolima, encontrar, edición, directorio, puedes, edicio, cliente",tolima,"servicio_cliente, responsabilidad_social",False,True,True,,cb5347ba8654,2025-10-15T22:36:56.819735
news_edicion_tolima_0dfb7584,Edición 7 - Tolima,Tolima,comunicacion,ediciones_tolima,4 May 2021,"Edición 7 - Tolima. En esta edición puedes encontrar:Historia: Para Rosario, la energía es lo suyoCumplimos, porque obras son amores Modernos y confiables! llegaron los nuevos medidores Celsia A es...","Edición 7 - Tolima. En esta edición puedes encontrar:Historia: Para Rosario, la energía es lo suyoCumplimos, porque obras son amores Modernos y confiables! llegaron los nuevos medidores Celsia A estrenar escuelas! En el 2020 transformamos cinco sedes educativas",newsletter,noticias_celsia,https://www.celsia.com/wp-content/uploads/2021/06/NOTICIAS-CELSIA-TOLIMA-MAYO-2021-BAJA.pdf,264,38,3,0.5,1.0,0.631,0.874,"tolima, encontrar, medidor, historia, edición, celsia, puedes, edicio","tolima, celsia",infraestructura,False,True,True,,0981688665a1,2025-10-15T22:36:56.820366
news_edicion_tolima_875c9ab8,Edición 6 - Tolima,Tolima,comunicacion,ediciones_tolima,15 Dic 2020,"Edición 6 - Tolima. En esta edición puedes encontrar:Nueva planta de energía solar en el Tolima.Celsianos, descubre quienes son y cuantos hay hoy en el Tolima.Pa las que sea y como sea, con tal de ...","Edición 6 - Tolima. En esta edición puedes encontrar:Nueva planta de energía solar en el Tolima.Celsianos, descubre quienes son y cuantos hay hoy en el Tolima.Pa las que sea y como sea, con tal de ayudar.Aprovecha estos descuentos de fin de año.",newsletter,noticias_celsia,https://www.celsia.com/wp-content/uploads/2021/05/NOTICIAS_CELSIA_TOLIMA_DICIEMBRE_2020.pdf,249,42,5,0.5,1.0,0.516,0.855,"tolima, nueva, encontrar, edición, celsia, puedes, edicio, solar, planta","tolima, celsia","servicio_cliente, infraestructura, energia_renovable",False,True,True,,093ce285af28,2025-10-15T22:36:56.820997
